ID,Title,Release Date,Popularity,Poster URL,Backdrop URL,Overview,Genres,Actors,Trailers
360,"Stage Fright",1950-02-23,16.867,https://image.tmdb.org/t/p/w500/l43OTqhib8do1WwXig8JI8Y68Fd.jpg,https://image.tmdb.org/t/p/w500/o0zaXXrXX1NWT5ZaUaXkvt8yA34.jpg,"A struggling actress tries to help a friend prove his innocence when he's accused of murdering the husband of a high-society entertainer.","Thriller","Jane Wyman;Marlene Dietrich;Michael Wilding;Richard Todd;Alastair Sim",https://www.youtube.com/watch?v=oRvWOz1-ekY
361,"The Asphalt Jungle",1950-05-12,16.404,https://image.tmdb.org/t/p/w500/gECEOjjLjuHi9DDHeDLj28SXLHE.jpg,https://image.tmdb.org/t/p/w500/gnu0rtxbrmhgjob4TXvIH8DHxB9.jpg,"Recently paroled from prison, legendary burglar 'Doc' Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.","Crime;Drama","Sterling Hayden;Louis Calhern;Sam Jaffe;Jean Hagen;James Whitmore",https://www.youtube.com/watch?v=LLO8JbhuMfs
362,"In a Lonely Place",1950-05-17,18.775,https://image.tmdb.org/t/p/w500/mR72XsO7EQu3uH8TeqPxMd9V8mW.jpg,https://image.tmdb.org/t/p/w500/hS9rKTtgYUBn26QTrLYUh8P07Yg.jpg,"An screenwriter with a violence record is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.","Drama;Romance;Mystery;Crime","Humphrey Bogart;Gloria Grahame;Frank Lovejoy;Carl Benton Reid;Art Smith",https://www.youtube.com/watch?v=68C2IFX60CU
363,"Father of the Bride",1950-05-18,11.075,https://image.tmdb.org/t/p/w500/sygyqqXq41SBZiYjY8nuQRAcuUv.jpg,https://image.tmdb.org/t/p/w500/6F3S8eNVnAkUsllkCPpIZGKXxIE.jpg,"Proud father Stanley Banks remembers the day his daughter, Kay, got married. Starting when she announces her engagement through to the wedding itself, we learn of all the surprises and disasters along the way.","Comedy;Romance;Drama","Spencer Tracy;Joan Bennett;Elizabeth Taylor;Don Taylor;Billie Burke",https://www.youtube.com/watch?v=7EMQgVqta_M
364,"Caged",1950-05-19,25.907,https://image.tmdb.org/t/p/w500/vvGyjfwGOQkB91XbzLJHmItiBIl.jpg,https://image.tmdb.org/t/p/w500/jIQo2ed8fW7dc7bH8lkZmZQx87Z.jpg,"A single mistake puts a 19-year old girl behind bars, where she experiences the terrors and torments of women in prison.","Crime;Drama","Eleanor Parker;Agnes Moorehead;Ellen Corby;Hope Emerson;Betty Garde",https://www.youtube.com/watch?v=yzJ2S2_S4T0
365,"Night and the City",1950-06-15,10.749,https://image.tmdb.org/t/p/w500/2NBmzm8z5fd283eWeECkPrkwta8.jpg,https://image.tmdb.org/t/p/w500/plZKln1BphCrVIZteNIBpxb8vi4.jpg,"Londoner Harry Fabian is a second-rate con man looking for an angle. After years of putting up with Harry's schemes, his girlfriend, Mary, becomes fed up when he taps her for yet another loan.","Drama;Crime","Richard Widmark;Francis L. Sullivan;Gene Tierney;Googie Withers;Stanislaus Zbyszko",https://www.youtube.com/watch?v=-y6sueICajY
366,"The Gunfighter",1950-06-23,13.707,https://image.tmdb.org/t/p/w500/5696EpyH0tB8DtKvwNGABMRWknX.jpg,https://image.tmdb.org/t/p/w500/8alkXDam8EUF6gvVyfowvZJ795T.jpg,"The fastest gun in the West tries to escape his reputation.","Western","Gregory Peck;Helen Westcott;Millard Mitchell;Jean Parker;Karl Malden",https://www.youtube.com/watch?v=yFqQAK6l6QE
367,"Winchester '73",1950-07-12,12.951,https://image.tmdb.org/t/p/w500/rqRgjWqSmK9oI6duvigPmn49aVG.jpg,https://image.tmdb.org/t/p/w500/zANbMKOJmhyrhKZ2uMCHToNMvjl.jpg,"Lin McAdam rides into town on the trail of Dutch Henry Brown, only to find himself in a shooting competition against him. McAdam wins the prize, a one-in-a-thousand Winchester rifle, but Dutch steals it and leaves town. McAdam follows, intent on settling his old quarrel, while the rifle keeps changing hands and touching a number of lives.","Western","James Stewart;Shelley Winters;Dan Duryea;Stephen McNally;Millard Mitchell",https://www.youtube.com/watch?v=eb7xOnMX1Qw
368,"Treasure Island",1950-07-19,12.983,https://image.tmdb.org/t/p/w500/zPzBsQZ2EhSmO9FLvQQtWVkJqRu.jpg,https://image.tmdb.org/t/p/w500/uiLhtMHXek72SEfbztG05pTNcc0.jpg,"Enchanted by the idea of locating treasure buried by Captain Flint, Squire Trelawney, Dr. Livesey and Jim Hawkins charter a sailing voyage to a Caribbean island. Unfortunately, a large number of Flint's old pirate crew are aboard the ship, including Long John Silver.","Adventure;Family","Bobby Driscoll;Robert Newton;Basil Sydney;Walter Fitzgerald;Denis O'Dea",https://www.youtube.com/watch?v=ez7_3UviUMs
369,"Broken Arrow",1950-08-01,37.621,https://image.tmdb.org/t/p/w500/1gafYQCpDxtfIj7HYBNs4Z3m4oW.jpg,https://image.tmdb.org/t/p/w500/7raQ1RNaeIWfcO2bzjO7FDbTf97.jpg,"Indian scout Tom Jeffords is sent out to stem the war between the Whites and Apaches in the late 1870s. He learns that the Indians kill only to protect themselves, or out of retaliation for white atrocities.","Western;Romance","James Stewart;Jeff Chandler;Debra Paget;Basil Ruysdael;Will Geer",https://www.youtube.com/watch?v=qdYOfdwB_iM
370,"Sunset Boulevard",1950-08-10,21.532,https://image.tmdb.org/t/p/w500/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,https://image.tmdb.org/t/p/w500/p47ihFj4A7EpBjmPHdTj4ipyq1S.jpg,"A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.","Drama","William Holden;Gloria Swanson;Erich von Stroheim;Nancy Olson;Fred Clark",https://www.youtube.com/watch?v=_dY0SVxnHjQ
371,"King Solomon's Mines",1950-11-09,10.828,https://image.tmdb.org/t/p/w500/s5T4Da7d3f255YRyaWfhMWfoBKK.jpg,https://image.tmdb.org/t/p/w500/zCtFfgCMsMP831OtTHBJgwu5hYi.jpg,"Adventurer Allan Quartermain leads an expedition into uncharted African territory in an attempt to locate an explorer who went missing during his search for the fabled diamond mines of King Solomon.","Adventure;Action;Romance","Deborah Kerr;Stewart Granger;Richard Carlson;Hugo Haas;Lowell Gilmore",https://www.youtube.com/watch?v=tmXgC7k-QB0
372,"All About Eve",1950-11-09,14.22,https://image.tmdb.org/t/p/w500/6numIZH6uR3NlJgY9m7nGH0jhs.jpg,https://image.tmdb.org/t/p/w500/9ygnsnkiRp7a97KUGx9nIUjZG5P.jpg,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.","Drama","Bette Davis;Anne Baxter;George Sanders;Celeste Holm;Gary Merrill",https://www.youtube.com/watch?v=ktG-ilbXbtI
373,"Rio Grande",1950-11-15,15.538,https://image.tmdb.org/t/p/w500/zYoK2RkBCmyhIV6UUb6EZLqxmZq.jpg,https://image.tmdb.org/t/p/w500/p8QeB34ou1qd38xoCxTUE5AauHJ.jpg,"Lt. Col. Kirby Yorke is posted on the Texas frontier to defend settlers against depredations of marauding Apaches. Col. Yorke is under considerable stress by a serious shortage of troops of his command. Tension is added when Yorke's son (whom he hasn't seen in fifteen years), Trooper Jeff Yorke, is one of 18 recruits sent to the regiment.","Western","John Wayne;Maureen O'Hara;Ben Johnson;Claude Jarman Jr.;Harry Carey;Jr.",https://www.youtube.com/watch?v=vDLoMsAhY-8
374,"Harvey",1950-12-04,17.184,https://image.tmdb.org/t/p/w500/dgd82hYmpiXDM1G867HqNaWe8wj.jpg,https://image.tmdb.org/t/p/w500/pL4EBT2Rm1EuTgyqiMM48elmhfY.jpg,"The story of Elwood P. Dowd who makes friends with a spirit taking the form of a human-sized rabbit named Harvey that only he sees (and a few privileged others on occasion also.) After his sister tries to commit him to a mental institution, a comedy of errors ensues. Elwood and Harvey become the catalysts for a family mending its wounds and for romance blossoming in unexpected places.","Comedy;Fantasy","James Stewart;Josephine Hull;Peggy Dow;Charles Drake;Cecil Kellaway",https://www.youtube.com/watch?v=FJLsnPndIEc
375,"Born Yesterday",1950-12-26,12.46,https://image.tmdb.org/t/p/w500/5KWpPOwBm53hs9J8JAscd5WI1jo.jpg,https://image.tmdb.org/t/p/w500/aUNgd026wn4O0QpVg9e5OAzSoEh.jpg,"Uncouth, loud-mouth junkyard tycoon Harry Brock descends upon Washington D.C. to buy himself a congressman or two, bringing with him his mistress, ex-showgirl Billie Dawn.","Comedy;Romance","Judy Holliday;Broderick Crawford;William Holden;Howard St. John;Frank Otto",https://www.youtube.com/watch?v=QL3NsTHAQ8s
376,"Vengeance Valley",1951-02-14,10.892,https://image.tmdb.org/t/p/w500/yIiXDUWV2ka5116V4snpCBRsn0b.jpg,https://image.tmdb.org/t/p/w500/ar0U96O9sZ1VYmhSXzqb3vzlUlQ.jpg,"A cattle baron takes in an orphaned boy and raises him, causing his own son to resent the boy. As they get older the resentment festers into hatred, and eventually the real son frames his stepbrother for fathering an illegitimate child that is actually his, seeing it as an opportunity to get his half-brother out of the way so he can have his father's empire all to himself.","Western","Burt Lancaster;Robert Walker;Joanne Dru;Sally Forrest;John Ireland",https://www.youtube.com/watch?v=j2srpV2RN-4
377,"The Enforcer",1951-02-24,12.067,https://image.tmdb.org/t/p/w500/k7FAq6mmLfsC6htX6f5zKwbw8LF.jpg,https://image.tmdb.org/t/p/w500/34WzsXWrGjVKVD1C9zyB0bs5e6q.jpg,"After years of investigation, Assistant District Attorney Martin Ferguson has managed to build a solid case against an elusive gangster whose top lieutenant is about to testify.","Drama;Thriller","Humphrey Bogart;Zero Mostel;Ted de Corsia;Everett Sloane;Roy Roberts",https://www.youtube.com/watch?v=tOpJGv9RLFU
378,"Royal Wedding",1951-03-08,15.771,https://image.tmdb.org/t/p/w500/5hOyBgsmSApFl10ZfaYxUTQu5Ze.jpg,https://image.tmdb.org/t/p/w500/jYPW0O6p8H58emjMaDK9Wnxx6z8.jpg,"Tom and Ellen are asked to perform as a dance team in England at the time of Princess Elizabeth's wedding. As brother and sister, each develops a British love interest, Ellen with Lord John Brindale and Tom with dancer Anne Ashmond.","Music;Comedy;Romance","Fred Astaire;Jane Powell;Peter Lawford;Sarah Churchill;Keenan Wynn",https://www.youtube.com/watch?v=vApZ6LWuTc4
379,"Cause for Alarm!",1951-03-30,10.934,https://image.tmdb.org/t/p/w500/6yCPB2jBvNEhG6qFej8ay3Xn5KU.jpg,https://image.tmdb.org/t/p/w500/kDzbdmi7tEGnCWp4f4V8SRRidoY.jpg,"A bedridden and gravely ill man believes his wife and doctor are conspiring to kill him, and outlines his suspicions in a letter.","Thriller;Drama;Crime","Loretta Young;Barry Sullivan;Bruce Cowling;Margalo Gillmore;Brad Morrow",https://www.youtube.com/watch?v=Crw1vkBpXx4
380,"The Thing from Another World",1951-04-05,19.575,https://image.tmdb.org/t/p/w500/rm2w8dEhOGDuckB6i0Spz9lTzpR.jpg,https://image.tmdb.org/t/p/w500/30aHDHSHGX4HEeKlrgCwhTU72QP.jpg,"Scientists and US Air Force officials fend off a blood-thirsty alien organism while investigating at a remote arctic outpost.","Drama;Horror;Science Fiction","Kenneth Tobey;Margaret Sheridan;Robert Cornthwaite;Douglas Spencer;James Young",https://www.youtube.com/watch?v=vs2lXH1aFZ0
381,"Abbott and Costello Meet the Invisible Man",1951-04-12,11.518,https://image.tmdb.org/t/p/w500/sGFnr4dCUm1Ro1bZHR5TXHOolXb.jpg,https://image.tmdb.org/t/p/w500/zIDSeSMkpeptowdn7Tnsx1bhHz2.jpg,"As novice detectives, Bud and Lou come face to face with the Invisible Man.","Comedy;Science Fiction;Horror","Bud Abbott;Lou Costello;Nancy Guild;Arthur Franz;Adele Jergens",https://www.youtube.com/watch?v=KSKBXW6vhAY
382,"The House on Telegraph Hill",1951-05-12,16.885,https://image.tmdb.org/t/p/w500/vjKabI7snDt6yym62ARh5MtBbw8.jpg,https://image.tmdb.org/t/p/w500/ofGwfK8ZzMeJUzCOk4EbIN44oHP.jpg,"Concentration camp survivor Victoria Kowelska finds herself involved in mystery, greed, and murder when she assumes the identity of a dead friend in order to gain passage to America.","Thriller;Drama;Mystery","Richard Basehart;Valentina Cortese;William Lundigan;Fay Baker;Gordon Gebert",https://www.youtube.com/watch?v=mAhaUyaNWeE
383,"A Place in the Sun",1951-06-12,16.932,https://image.tmdb.org/t/p/w500/3tKYbChwIRYCwFrMUDBkbZyDIoN.jpg,https://image.tmdb.org/t/p/w500/ahiyCLIyFQ57xNuDQaxqQQ48X9u.jpg,"A young social climber wins the heart of a beautiful heiress but his former girlfriend's pregnancy stands in the way of his ambition.","Drama;Romance;Crime","Montgomery Clift;Elizabeth Taylor;Shelley Winters;Anne Revere;Keefe Brasselle",https://www.youtube.com/watch?v=sk7a9EyMGiY
384,"Sirocco",1951-06-13,15.726,https://image.tmdb.org/t/p/w500/9gsUSoeTlG1GfM7ckAxmHzkgi0n.jpg,https://image.tmdb.org/t/p/w500/5S1MHJJL1Z5d7Z3a8JvEeM8gOhK.jpg,"A mysterious American gets mixed up with gunrunners in Syria.","Action;Adventure;Drama","Humphrey Bogart;Märta Torén;Lee J. Cobb;Everett Sloane;Gerald Mohr",https://www.youtube.com/watch?v=o-O3boYe0ek
385,"Strangers on a Train",1951-06-27,14.767,https://image.tmdb.org/t/p/w500/ihC083U7ef56Ui4x0P0dobojrZ1.jpg,https://image.tmdb.org/t/p/w500/vFaqHaTwgC9lGngBLiUZdgNWOoe.jpg,"Two strangers meet on a train. They’ve never met before. Both of whom have someone they’d like to murder. So, they swap murders. A psychopath shares this concept with tennis star Guy Haines, whose wife refuses to get a divorce. He agrees, thinking it is a joke. But now his wife is dead, Haines finds himself a prime suspect and the man wants Guy to kill his father.","Crime;Thriller","Farley Granger;Ruth Roman;Robert Walker;Leo G. Carroll;Patricia Hitchcock",https://www.youtube.com/watch?v=YojNaEJf_1k
386,"The Lavender Hill Mob",1951-06-28,11.169,https://image.tmdb.org/t/p/w500/k0MfdrAshO2247Z9xu1FyulK5i9.jpg,https://image.tmdb.org/t/p/w500/scZbkCgTWAKo5Hq1XD8UML822YJ.jpg,"A meek bank clerk who oversees the shipments of bullion joins with an eccentric neighbor to steal gold bars and smuggle them out of the country.","Comedy;Crime","Alec Guinness;Stanley Holloway;Sid James;Alfie Bass;Marjorie Fielding",https://www.youtube.com/watch?v=5jlyDZvCpCQ
387,"Ace in the Hole",1951-06-29,12.166,https://image.tmdb.org/t/p/w500/gPVPzHEsJBX02HtBtIQgYnfeqNQ.jpg,https://image.tmdb.org/t/p/w500/4GvEem97VxMtuhhwOZ4RtGXP37T.jpg,"An arrogant reporter exploits a story about a man trapped in a cave to revitalize his career.","Drama","Kirk Douglas;Jan Sterling;Robert Arthur;Porter Hall;Frank Cady",https://www.youtube.com/watch?v=AX8GLtyWpOY
388,"Show Boat",1951-07-19,15.365,https://image.tmdb.org/t/p/w500/sk7s574pI9QAi6uVqbTg0bnLEUC.jpg,https://image.tmdb.org/t/p/w500/ArRVe2TdaSgXaTWM8N6P4lUGDms.jpg,"A dashing Mississippi river gambler wins the affections of the daughter of the owner of the Show Boat.","Music;Romance;Drama","Kathryn Grayson;Ava Gardner;Howard Keel;Joe E. Brown;Marge Champion",https://www.youtube.com/watch?v=AcGVUcc3Fn0
